證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label
1456,怡華,201312,554.2000,3.4000,0.7337,9.7641,0.6607,-1.9766,-0.0391,-0.0983,-0.1337,49.5220,95.2432,28.2940,0.8020,681.9553,65.1883,55.7424,13.3333,-1
1457,宜進,201312,2568.4268,8.0800,0.0612,0.6607,0.5815,0.0470,0.0230,-0.0126,0.0414,1.0406,88.1496,60.7510,8.4586,7.5561,38.7019,143.5006,-0.6150,-1
1459,聯發,201312,3424.9060,9.5500,0.6843,0.8573,0.8377,0.0442,0.0247,-0.0164,0.0432,0.7870,150.0751,128.1251,10.4725,17.6235,-4.1742,511.8005,6.1111,-1
1460,宏遠,201312,4391.4824,9.3200,0.2314,0.9804,0.5746,0.0513,0.0270,0.0280,0.0301,0.8979,179.9654,56.7360,2.2082,9.9718,141.2407,-60.4415,28.0220,1
1463,強盛新,201312,3306.6095,17.5500,0.9560,1.5398,3.5574,0.0273,0.0178,-0.0343,0.0631,0.5316,208.0883,129.4554,1.1482,6.4096,66.3558,211.5751,46.2500,1
1464,得力,201312,2960.6304,13.6500,0.5248,1.1570,0.6452,-0.0154,-0.0071,-0.0170,-0.0086,1.1601,110.7967,55.6680,3.0886,7.1961,-270.9498,-177.0499,48.5310,1
1465,偉全,201312,1398.6983,16.2000,0.8471,0.6097,0.5277,0.0621,0.0496,0.0409,0.0538,0.2522,391.0361,242.3845,3.5732,10.6867,72.8147,33.1530,28.5714,1
1466,聚隆,201312,1960.8244,19.6500,0.4010,1.1903,0.3749,0.0597,0.0332,0.0190,0.0188,0.7975,181.7455,80.8799,5.6629,13.9766,-26.9311,-1.0959,-5.5288,-1
1467,南緯,201312,2447.4526,14.5500,0.8585,1.0316,0.3381,0.0468,0.0176,0.0225,0.0153,1.6527,155.1157,100.9275,5.5169,9.0261,478.4059,-51.7013,50.3099,1
1468,昶和,201312,1708.3164,10.6500,0.4872,1.3131,2.2295,-0.0377,-0.0199,-0.0645,-0.0641,0.8945,179.3736,38.4186,0.8273,14.0852,79.2194,81.8145,-2.7397,-1
1470,大統新創,201312,1432.3089,16.7000,0.2141,1.5787,2.1406,0.0323,0.0281,0.0470,0.0438,0.1489,527.4826,407.4260,4.8001,5.1652,614.9579,105.7584,33.6000,1
1471,首利,201312,2165.7778,10.7500,0.2820,0.8169,0.3829,0.0118,0.0084,-0.0049,0.0055,0.3943,191.3033,156.7794,15.7581,7.1359,86.1902,110.6089,2.8708,-1
1472,三洋實業,201312,2966.3100,41.4000,0.3871,8.4968,3.3629,-0.3030,-0.1011,-0.1086,-0.1199,1.9956,66.8023,39.8659,5.1489,10.7096,45.8956,35.2586,135.2273,1
1473,台南,201312,4596.4363,31.3000,0.3280,0.9469,0.4925,-0.0154,-0.0085,0.0040,-0.0080,0.7999,252.6688,167.2653,4.0202,7.6701,823.5488,-413.4464,3.4711,-1
1474,弘裕,201312,1244.2284,9.3000,0.6607,0.7099,0.3457,0.0407,0.0206,-0.0020,0.0198,0.9788,129.0737,70.2232,3.9602,7.3752,88.5265,190.0226,30.6180,1
1475,業旺,201312,903.2890,17.2000,0.9581,3.0375,4.0749,-0.5221,-0.2404,-0.4657,-0.7004,1.1721,50.2213,31.9444,3.8160,6.8140,2.0347,-35.6689,92.1788,1
1476,儒鴻,201312,84318.9984,336.0000,0.9545,10.3875,4.6478,0.3374,0.2183,0.1814,0.1510,0.5456,167.4860,89.8927,5.6108,8.1478,47.2641,52.6998,215.4930,1
1477,聚陽,201312,27220.6242,161.0000,0.7071,5.1069,1.5198,0.2518,0.1330,0.0907,0.0749,0.8940,184.4094,88.9903,6.2357,63.5514,6.1750,14.0600,78.0973,1
1503,士電,201312,19796.9436,38.0000,0.6515,0.9506,1.0079,0.0588,0.0368,0.0388,0.0624,0.5969,143.7265,95.9637,4.9422,4.4014,-36.1583,16.8507,5.5556,-1
1504,東元,201312,67092.3672,34.1500,0.5750,1.4359,1.1850,0.0894,0.0543,0.0817,0.0738,0.6456,204.3826,148.3700,5.0582,6.5115,20.8024,25.5771,53.4831,1
1506,正道,201312,2286.1049,18.7000,0.3856,1.6934,1.5943,-0.0736,-0.0432,-0.0577,-0.0693,0.7036,165.1863,92.8666,3.1987,4.1822,-22.2733,-24.8909,-5.0761,-1
1512,瑞利,201312,1598.0440,8.7900,0.8065,0.7921,0.4299,-0.0572,-0.0197,-0.0111,-0.0310,1.9059,123.5384,87.1194,4.3134,2.9450,-125.2870,-333.6417,0.0000,0
1513,中興電,201312,10848.0000,22.6000,0.9473,1.3521,1.0746,0.0725,0.0408,0.0583,0.0576,0.7751,163.6239,109.2346,3.8404,8.4747,-8.2804,13.1578,45.3376,1
1514,亞力,201312,2070.9901,10.3000,0.9545,0.7886,0.5991,0.0259,0.0150,0.0193,0.0197,0.7210,176.4348,133.1443,5.1878,2.6045,-49.4653,-32.7052,21.3192,-1
1515,力山,201312,2277.4924,12.5500,0.4144,0.9489,0.6929,0.0858,0.0389,0.0152,0.0626,1.2051,127.2946,105.5359,5.8866,4.1992,-52.5456,226.8132,61.9355,1
1516,川飛,201312,308.8393,12.2000,0.1385,1.7741,2.1791,0.0257,0.0208,0.0053,0.0316,0.2384,27.6107,27.6107,0.0000,0.0000,122.3766,105.2998,46.8111,1
1517,利奇,201312,0.0000,0.0000,0.7253,0.0000,0.0000,0.1028,0.0695,0.0755,0.1016,0.4795,382.9994,319.6731,6.0799,4.2490,-3.2462,32.3626,0.0000,0
1519,華城,201312,4751.2647,18.2000,0.3760,1.5965,1.0676,0.0388,0.0206,0.0270,0.0259,0.8810,174.2739,105.1682,2.9245,2.9475,69.5500,53.5895,53.5865,1
1521,大億,201312,4581.4230,60.1000,0.3894,2.8647,1.0899,0.1916,0.0962,0.0643,0.0729,0.9924,140.6708,99.0590,7.6849,7.4104,-1.7498,7.1757,33.5556,1
1522,堤維西,201312,5303.6194,16.9500,0.1852,0.9129,0.3215,0.0343,0.0104,0.0283,0.0121,2.2863,100.6373,77.3947,7.9724,5.5236,248.2816,278.0622,59.1549,1
1524,耿鼎,201312,1521.8305,8.5200,0.1325,0.7426,0.6144,-0.0241,-0.0096,-0.0120,-0.0199,1.5198,106.1017,70.7023,5.0788,6.0519,69.4720,59.2647,34.1732,1
1525,江申,201312,6446.7467,93.1000,0.2619,2.3043,5.2568,0.1063,0.0862,0.0251,0.2425,0.2340,269.1706,232.8474,8.7205,0.0000,-66.6127,-3.9273,102.3913,1
1526,日馳,201312,488.0000,9.7600,0.9771,1.0113,0.6897,0.0725,0.0347,0.0527,0.0495,1.0934,204.0022,95.3311,2.3215,9.5365,87.7637,150.4830,39.4286,1
1527,鑽全,201312,4828.6224,31.5000,0.5420,1.7959,1.7853,0.1953,0.0428,0.1532,0.1941,3.5676,116.4363,109.5055,4.0782,5.4741,14.0321,787.2033,77.4648,1
1528,恩德,201312,2190.3000,14.9000,0.9128,1.0366,0.6921,0.0503,0.0232,0.0210,0.0336,1.1712,223.3817,151.8949,2.8967,3.2446,-35.9624,19.9356,46.7980,1
1529,樂事綠能,201312,599.3014,2.4000,0.6906,1.3820,4.7684,-0.1920,-0.1392,-0.4852,-0.6623,0.3787,102.2708,82.0231,4.1889,7.9006,72.7000,67.4172,35.5932,1
1530,亞崴,201312,3164.6108,34.4000,0.1585,1.3071,1.0575,0.0975,0.0475,0.0781,0.0789,1.0536,152.0927,80.3595,1.9692,5.1749,-35.4056,-11.3558,12.4183,-1
1531,高林股,201312,4490.7631,23.2500,0.4605,1.1008,1.4873,0.0709,0.0514,0.0905,0.0959,0.3802,327.3196,229.3399,2.5968,3.9487,81.8352,24.8948,29.1667,1
1532,勤美,201312,15842.7303,41.0500,0.4189,0.8126,1.0622,0.1970,0.1019,0.0974,0.2575,0.9332,190.7060,77.1532,1.1078,3.7587,37.6687,262.2375,48.1949,1
